"subject" "activity" "measurement" "mean"
8 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.283484089210526
8 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.258880152048781
11 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.280592970877193
11 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.276590197358491
11 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277715562765957
11 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.271821892881356
11 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.291605631956522
11 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.263775859277778
14 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.233275439803922
14 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.279990577037037
14 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.280545613833333
14 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.271959598644068
14 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.293422115555556
14 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.26242106612963
15 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.2894756525
15 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.27290337979661
15 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.278915803962264
15 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.273899207962963
15 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.280198851190476
15 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.270187595833333
16 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.274227162571429
16 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.280768574492754
16 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.283497402948718
16 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.276023564509804
16 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.295586802191489
16 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.255986102627451
17 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.269780085577465
17 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.2773570196875
17 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277942503333333
17 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.272341855245902
17 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.29391828326087
17 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.252604768583333
19 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.272653733493976
19 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.273830316164384
19 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.27817226
19 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.273931172307692
19 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.262688053871795
19 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.242118808925
21 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.271325472455556
21 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.277539616823529
21 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.27695224258427
21 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.279183526730769
21 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.3014610196
21 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.265194544680851
22 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.279959721194444
22 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.273583822709677
22 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.279053861587302
22 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.27886459
22 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.284458963861111
22 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.248391534566667
23 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.274038007986111
23 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.273351251617647
23 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277899323235294
23 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.273211884237288
23 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.289897411148148
23 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.249995171031373
25 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.250791828613699
25 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.278541482461538
25 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.278013701621622
25 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.278992759054054
25 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.291329666206897
25 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.277995411384615
26 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.271645864540789
26 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.258243530166667
26 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.281127035405405
26 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.279264443728814
26 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.2792845828
26 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.272691394545455
27 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.274102492432432
27 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.273941302571429
27 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.279566921625
27 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.276849485438596
27 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.2975441875
27 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.265770253921569
28 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.2759134825
28 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.276977629444444
28 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277795069113924
28 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.281228223888889
28 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.293642076521739
28 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.262005841764706
29 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.287295196811594
29 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.2771799775
29 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277965065846154
29 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.271999916792453
29 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.293140441083333
29 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.265423066877551
30 "Laying" "time-Body-Accelerometer-mean-X-Axis" 0.281033900571429
30 "Sitting" "time-Body-Accelerometer-mean-X-Axis" 0.268336081379032
30 "Standing" "time-Body-Accelerometer-mean-X-Axis" 0.277112699152542
30 "Walking" "time-Body-Accelerometer-mean-X-Axis" 0.276406758
30 "Walking Downstairs" "time-Body-Accelerometer-mean-X-Axis" 0.283190646967742
30 "Walking Upstairs" "time-Body-Accelerometer-mean-X-Axis" 0.271415642261538
1 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0405139534294
1 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00130828765170213
1 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0161375901037736
1 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0173838185273684
1 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.00991850461020408
1 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0239531492643396
3 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0189556785048387
3 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00350299841730769
3 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0143376555065574
3 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0171767844203448
3 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0193554079328571
3 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0324109410555932
5 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0183042123269231
5 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00990083527045455
5 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.00700418554517857
5 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0172850317482679
5 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.00850107533191489
5 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0325269755153191
6 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0102529170561404
6 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0145911615290909
6 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0181236327175439
6 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0168954189082456
6 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.019536840063125
6 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0272425385070588
7 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0204411516884615
7 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.01461097580375
7 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0145740341037736
7 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.018653665345614
7 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0166332372978723
7 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0275639005607843
8 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0212281733881481
8 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00672550621304348
8 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0148113067148148
8 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0186628865310417
8 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0211058674973684
8 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0282415136341463
11 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0176598052315789
11 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0149195616754717
11 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0171990886595745
11 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0166475833623729
11 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0178097721219565
11 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0303157822055556
14 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0113424652490196
14 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00870565463888889
14 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.01520781344
14 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0217785380966102
14 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0200141413657778
14 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0204388180024074
15 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0166296542054167
15 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0117188472271186
15 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0183516360396226
15 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0170809740090741
15 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.00563047804309524
15 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0287523860708333
16 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0166103510562857
16 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0102497939956522
16 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0165999672935897
16 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0204286929452941
16 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0183898583787234
16 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0143654945011765
17 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0168462006729577
17 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.014156274084375
17 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0174120064169231
17 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0184875403339344
17 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0167359404347826
17 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0228645614308333
19 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0171426864421687
19 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.016739260030137
19 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0154244056945205
19 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0191773587903846
19 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0145942275069487
19 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0303986615775
21 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0184233048415556
21 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0144009705494118
21 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0167084730205618
21 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0181610317526923
21 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0173195390157778
21 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0237218695148936
22 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0142629864502778
22 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0123468446419355
22 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0158563207496825
22 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0167213607957174
22 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0197999371686389
22 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0268622561133333
23 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0216553835833333
23 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0133945015676471
23 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0177475547867647
23 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0183618711932203
23 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0162111457238889
23 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0323844029237255
25 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0188943663671233
25 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0147696808030769
25 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0163569730274324
25 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0186477624716216
25 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0210170522987931
25 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0269863524264615
26 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0191895728026316
26 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00713364541358974
26 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0166608306652703
26 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0154259586949153
26 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.01262580966778
26 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0281633797398182
27 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0179867611216216
27 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0155269799285714
27 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.016593236445
27 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0166478783221912
27 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0135564467159091
27 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0200953324078431
28 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0167537858225
28 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.0185404441258333
28 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0172635124672152
28 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0156759722981481
28 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0220230465913043
28 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0279443943478431
29 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0171965484202899
29 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.016630680375
29 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0172605869061538
29 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0162915600588679
29 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.01494121505625
29 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0299465312326531
30 "Laying" "time-Body-Accelerometer-mean-Y-Axis" -0.0194494098614286
30 "Sitting" "time-Body-Accelerometer-mean-Y-Axis" -0.00804731295322581
30 "Standing" "time-Body-Accelerometer-mean-Y-Axis" -0.0170163887813559
30 "Walking" "time-Body-Accelerometer-mean-Y-Axis" -0.0175880385730769
30 "Walking Downstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0174383900204839
30 "Walking Upstairs" "time-Body-Accelerometer-mean-Y-Axis" -0.0253311698786154
1 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.11320355358
1 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.104544182255319
1 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.110601817735849
1 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.111148103547368
1 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.107566190908163
1 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.0973020020943396
3 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.101300477506452
3 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.0983579203269231
3 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.101621722633148
3 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.112674859827586
3 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.116139842908163
3 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.110064863437288
5 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.107937603673077
5 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.108540300265909
5 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.102171095696429
5 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.107741776464286
5 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.100319930659574
5 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.107471453914894
6 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.133119570368421
6 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.110127728709091
6 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.112172831947368
6 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.110303165877193
6 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.107209356208333
6 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.122082438784314
7 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.101361036576923
7 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.122464597625
7 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.0997778303207547
7 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.110912234947368
7 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.096938308587234
7 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.143769688803922
8 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.102245365611111
8 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.104461049130435
8 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.106114996837037
8 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.107252090833333
8 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.107598135394737
8 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.11512211995122
11 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.108786578070175
11 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.112840218339623
11 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.108686630425532
11 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.106096304033898
11 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.111070149978261
11 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.106797216481481
14 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.0868333315509804
14 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.100401490425926
14 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.103817701790667
14 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.106756369135593
14 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.0928330165533333
14 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.112279688983333
15 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.118530240291667
15 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.11366125320339
15 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.105910832679245
15 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.107621819518519
15 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.110526066428571
15 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.116952464895833
16 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.107310493242857
16 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.0891404038405797
16 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.103657729076923
16 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.108804049803922
16 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.119873705148936
16 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.124074517745098
17 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.107006279704225
17 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.11362408509375
17 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.111432145565
17 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.109792122032787
17 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.0892432745173913
17 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.121290442104167
19 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.10898146186747
19 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.10870765430137
19 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.10904190460274
19 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.122736673192308
19 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.133695240660974
19 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.151054607725
21 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.103253832233333
21 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.112057887741176
21 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.110417855808989
21 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.104319332403846
21 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.09816866218
21 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.125414265340426
22 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.110800924652778
22 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.105827369516129
22 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.104967423820635
22 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.107112510934783
22 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.1074157796
22 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.117550861738095
23 "Laying" "time-Body-Accelerometer-mean-Z-Axis" -0.104256776291667
23 "Sitting" "time-Body-Accelerometer-mean-Z-Axis" -0.103808679294118
23 "Standing" "time-Body-Accelerometer-mean-Z-Axis" -0.1105970177575
23 "Walking" "time-Body-Accelerometer-mean-Z-Axis" -0.113382994084746
23 "Walking Downstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.0988123712574074
23 "Walking Upstairs" "time-Body-Accelerometer-mean-Z-Axis" -0.126890616782353
